Date,Time,kW,kWh
2016-04-05,17:00:00,0.00,0.00
2016-04-05,17:05:00,0.00,0.00
2016-04-05,17:10:00,0.00,0.00
2016-04-05,17:15:00,0.72,0.06
2016-04-05,17:20:00,1.44,0.12
2016-04-05,17:25:00,1.44,0.12
2016-04-05,17:30:00,1.44,0.12
2016-04-05,17:35:00,2.15,0.18
2016-04-05,17:40:00,1.44,0.12
2016-04-05,17:45:00,1.44,0.12
2016-04-05,17:50:00,1.44,0.12
2016-04-05,17:55:00,1.44,0.12
2016-04-05,18:00:00,1.44,0.12
2016-04-05,18:05:00,0.72,0.06
2016-04-05,18:10:00,0.72,0.06
2016-04-05,18:15:00,0.72,0.06
2016-04-05,18:20:00,0.00,0.00
2016-04-05,18:25:00,0.00,0.00
2016-04-05,18:30:00,0.00,0.00
2016-04-05,18:35:00,0.00,0.00
2016-04-05,18:40:00,0.00,0.00
2016-04-05,18:45:00,0.00,0.00
2016-04-05,18:50:00,0.00,0.00
2016-04-05,18:55:00,0.72,0.06
2016-04-05,19:00:00,0.72,0.06
2016-04-05,19:05:00,0.72,0.06
2016-04-05,19:10:00,0.72,0.06
2016-04-05,19:15:00,1.44,0.12
2016-04-05,19:20:00,1.44,0.12
2016-04-05,19:25:00,1.44,0.12
2016-04-05,19:30:00,0.72,0.06
2016-04-05,19:35:00,0.72,0.06
2016-04-05,19:40:00,0.72,0.06
2016-04-05,19:45:00,0.00,0.00
2016-04-05,19:50:00,0.00,0.00
